Comment,Label
im here in 2024 .,neutral
when i first heard of adele this was my favorite song n still us . love you adele !! 🙏🙏🙏🙏🙏🧡🧡❤️❤️💛💛💚💚💚💙💙💙💜💜🌹🌹🌹🌹🌹,positive
Me,neutral
"This is how I protested. Triumph , natural bud, good friend's, and a stadium  packed with like minded people rocking to Triumph. PS . Peace",positive
I want to bay this youtube I from somali 😮,positive
2024,neutral
2024,neutral
like this song happen to me,positive
"I love the song, I've heard it at least 1000 times☺☺☺☺",positive
There PAGES ISAAC Fernández,neutral
ATREYU ISAAC,neutral
Its meeeee🥰,positive
,neutral
Super Star,positive
The British are a bunch of $hits. But this Lady can come to the US.,negative
A incredible voice with incredible lyrics that anyone can relate to.,positive
IM HERE,neutral
"*It's been 8 Years, Let's See How Many Legends Still Listening to This Masterpiece!* 🖤",positive
Helo is a TOTTENHAM FC fan ADELLE pure quality love it from the other side April 2024,positive
Beautiful songs,positive
Gg,neutral
Some of us are on the other side do you realize that,neutral
Who’s here in 2034?,neutral
"When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - In the Moment” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕🎉",positive
Her I love very much 😘😘😘,positive
,neutral
HALLO :,neutral
hi! 😂❤,positive
You’re All Heart!,positive
Love Adele ❤️  god,positive
Who’s listening in April 2024???,neutral
April 2024 someone? 🙂,neutral
M3,neutral
Am here 2024. Tell me what you were thinking about when you played this.,neutral
"We'll go as you want, but I'm very attached to you, when I listen to you I cry, because I would have wanted a sweet story with you, so go easy on me too Baby!
I add, I discovered you here. before I thought you didn't care.. but if you want now I'm here just for you. Just free....! If you want we can meet! Let me know if it's too late.... .",positive
I'm here,neutral
Me❤april2024 from Turkey👋,positive
California was over-praised.,negative
3.1 VIEWS you gotta be joking,negative
2024?,neutral
Now 2024 but Still one of fvt song 💥,positive
2024 and 3.1 BILLION views 😂,positive
Plz my saport 1k,negative
"I left the love of my life in El Salvador, 4 years ago. Now I live in California, this song cannot describe my story better",positive
