comment,cleaned_comment,sentiment,score
im here in 2024 .,im,POSITIVE,0.7430374026298523
when i first heard of adele this was my favorite song n still us . love you adele !! 🙏🙏🙏🙏🙏🧡🧡❤️❤️💛💛💚💚💚💙💙💙💜💜🌹🌹🌹🌹🌹,first heard adele favorite song n still u love adele [UNK],POSITIVE,0.9837098121643066
Me,,POSITIVE,0.7481208443641663
"This is how I protested. Triumph , natural bud, good friend's, and a stadium  packed with like minded people rocking to Triumph. PS . Peace",protested triumph natural bud good friend stadium packed like minded people rocking triumph p peace,POSITIVE,0.9982057809829712
I want to bay this youtube I from somali 😮,want bay youtube somali [UNK],NEGATIVE,0.9666479825973511
2024,,POSITIVE,0.7481208443641663
2024,,POSITIVE,0.7481208443641663
like this song happen to me,like song happen,POSITIVE,0.9970729351043701
"I love the song, I've heard it at least 1000 times☺☺☺☺",love song ive heard least [UNK],POSITIVE,0.9621071219444275
There PAGES ISAAC Fernández,page isaac fernandez,POSITIVE,0.9646486639976501
ATREYU ISAAC,atreyu isaac,POSITIVE,0.9854955673217773
Its meeeee🥰,[UNK],NEGATIVE,0.6970567107200623
,,POSITIVE,0.7481208443641663
Super Star,super star,POSITIVE,0.9997859597206116
The British are a bunch of $hits. But this Lady can come to the US.,british bunch hit lady come u,POSITIVE,0.9639422297477722
A incredible voice with incredible lyrics that anyone can relate to.,incredible voice incredible lyric anyone relate,POSITIVE,0.999872088432312
IM HERE,im,POSITIVE,0.7430374026298523
"*It's been 8 Years, Let's See How Many Legends Still Listening to This Masterpiece!* 🖤",year let see many legend still listening masterpiece [UNK],POSITIVE,0.9991064667701721
Helo is a TOTTENHAM FC fan ADELLE pure quality love it from the other side April 2024,helo tottenham fc fan adelle pure quality love side april,POSITIVE,0.9991222023963928
Beautiful songs,beautiful song,POSITIVE,0.9998849630355835
Gg,gg,POSITIVE,0.5559742450714111
Some of us are on the other side do you realize that,u side realize,NEGATIVE,0.9787335991859436
Who’s here in 2034?,’,POSITIVE,0.9309634566307068
"When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - In the Moment” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕🎉",came homeless drug jail house job husband song “ clover cage moment ” two song helped get rid depression want send love everyone want everyone know thing get better togetheri love [UNK],POSITIVE,0.8991431593894958
Her I love very much 😘😘😘,love much [UNK],POSITIVE,0.9996529817581177
,,POSITIVE,0.7481208443641663
HALLO :,hallo,POSITIVE,0.9963253140449524
hi! 😂❤,hi [UNK],POSITIVE,0.9852980375289917
You’re All Heart!,’ heart,POSITIVE,0.9996737241744995
Love Adele ❤️  god,love adele [UNK] god,POSITIVE,0.9973037242889404
Who’s listening in April 2024???,’ listening april,POSITIVE,0.999148964881897
April 2024 someone? 🙂,april someone [UNK],POSITIVE,0.5905816555023193
M3,,POSITIVE,0.7481208443641663
Am here 2024. Tell me what you were thinking about when you played this.,tell thinking played,POSITIVE,0.9268243908882141
"We'll go as you want, but I'm very attached to you, when I listen to you I cry, because I would have wanted a sweet story with you, so go easy on me too Baby!
I add, I discovered you here. before I thought you didn't care.. but if you want now I'm here just for you. Just free....! If you want we can meet! Let me know if it's too late.... .",well go want im attached listen cry would wanted sweet story go easy baby add discovered thought didnt care want im free want meet let know late,NEGATIVE,0.9688302278518677
I'm here,im,POSITIVE,0.7430374026298523
Me❤april2024 from Turkey👋,[UNK] [UNK],NEGATIVE,0.7850592732429504
California was over-praised.,california overpraised,NEGATIVE,0.995884358882904
3.1 VIEWS you gotta be joking,view got ta joking,POSITIVE,0.7605322003364563
2024?,,POSITIVE,0.7481208443641663
Now 2024 but Still one of fvt song 💥,still one fvt song [UNK],NEGATIVE,0.981266975402832
2024 and 3.1 BILLION views 😂,billion view [UNK],POSITIVE,0.9871561527252197
Plz my saport 1k,plz saport k,NEGATIVE,0.9770116209983826
"I left the love of my life in El Salvador, 4 years ago. Now I live in California, this song cannot describe my story better",left love life el salvador year ago live california song describe story better,POSITIVE,0.7830948829650879
"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore",hello wondering year youd like meet go everything say time supposed heal ya aint done much healing hello hear im california dreaming used younger free ive forgotten felt world fell foot there difference u million mile hello side mustve called thousand time tell im sorry everything ive done call never seem home hello outside least say ive tried tell im sorry breaking heart dont matter clearly doesnt tear apart anymore hello typical talk im sorry hope youre well ever make town nothing ever happened secret u running time hello side side mustve called thousand time thousand time tell im sorry everything ive done call never seem home hello outside outside least say ive tried ive tried tell im sorry breaking heart dont matter clearly doesnt tear apart anymore ooh low low low low anymore high high high high ooh low low low low anymore high high high high ooh low low low low anymore high high high high anymore low low low low hello side side mustve called thousand time thousand time tell im sorry everything ive done call never seem home hello outside outside least say ive tried ive tried tell im sorry breaking heart dont matter clearly doesnt tear apart anymore,NEGATIVE,0.9970634579658508
The song that Suhaib hates 🙂,song suhaib hate [UNK],NEGATIVE,0.9923602938652039
Who's here in 2025😂,who [UNK],NEGATIVE,0.9458633065223694
Anyone in 2024 ?,anyone,POSITIVE,0.9625333547592163
"Odessa,Ukraine is hete",odessaukraine hete,NEGATIVE,0.9833351373672485
🏔 Today 🌍 corresponding to 🌍 Happy 🌍 Eid 🌍🦜🎤❤🏔❤,[UNK] today [UNK] corresponding [UNK] happy [UNK] eid [UNK],POSITIVE,0.967585563659668
We will not see other masterpieces like these again ❤,see masterpiece like [UNK],POSITIVE,0.9968681931495667
,,POSITIVE,0.7481208443641663
,,POSITIVE,0.7481208443641663
,,POSITIVE,0.7481208443641663
,,POSITIVE,0.7481208443641663
