Comment #,Comment
0,im here in 2024 .
1,when i first heard of adele this was my favorite song n still us . love you adele !! 🙏🙏🙏🙏🙏🧡🧡❤️❤️💛💛💚💚💚💙💙💙💜💜🌹🌹🌹🌹🌹
2,Me
3,"This is how I protested. Triumph , natural bud, good friend's, and a stadium  packed with like minded people rocking to Triumph. PS . Peace"
4,I want to bay this youtube I from somali 😮
5,2024
6,2024
7,like this song happen to me
8,"I love the song, I've heard it at least 1000 times☺☺☺☺"
9,There PAGES ISAAC Fernández
10,ATREYU ISAAC
11,Its meeeee🥰
12,
13,Super Star
14,The British are a bunch of $hits. But this Lady can come to the US.
15,A incredible voice with incredible lyrics that anyone can relate to.
16,IM HERE
17,"*It's been 8 Years, Let's See How Many Legends Still Listening to This Masterpiece!* 🖤"
18,Helo is a TOTTENHAM FC fan ADELLE pure quality love it from the other side April 2024
19,Beautiful songs
20,Gg
21,Some of us are on the other side do you realize that
22,Who’s here in 2034?
23,"When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - In the Moment” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕🎉"
24,Her I love very much 😘😘😘
25,
26,HALLO :
27,hi! 😂❤
28,You’re All Heart!
29,Love Adele ❤️  god
30,Who’s listening in April 2024???
31,April 2024 someone? 🙂
32,M3
33,Am here 2024. Tell me what you were thinking about when you played this.
34,"We'll go as you want, but I'm very attached to you, when I listen to you I cry, because I would have wanted a sweet story with you, so go easy on me too Baby!
I add, I discovered you here. before I thought you didn't care.. but if you want now I'm here just for you. Just free....! If you want we can meet! Let me know if it's too late.... ."
35,I'm here
36,Me❤april2024 from Turkey👋
37,California was over-praised.
38,3.1 VIEWS you gotta be joking
39,2024?
40,Now 2024 but Still one of fvt song 💥
41,2024 and 3.1 BILLION views 😂
42,Plz my saport 1k
43,"I left the love of my life in El Salvador, 4 years ago. Now I live in California, this song cannot describe my story better"
44,"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore"
45,The song that Suhaib hates 🙂
46,Who's here in 2025😂
47,Anyone in 2024 ?
48,"Odessa,Ukraine is hete"
49,🏔 Today 🌍 corresponding to 🌍 Happy 🌍 Eid 🌍🦜🎤❤🏔❤
50,We will not see other masterpieces like these again ❤
51,
52,
53,
54,
55,Their brood will not only be ugly and genetically inferior but are more likely to end up in prison with the rest of them.
56,"""the better adele"""
57,This April
58,Intro too long
59,A legend
60,No ones  here.... It's  all a dream.
61,". . . for those who just now understood the word ""move-on""."
62,
63,Will everything pass one day?
64,Is there anyone besides music who understands you?
65,Who is there in 2024?
66,"I remember when this song just came out. Autumn, rains, Adele - Hello..
8 years have already passed, 8 years of life have passed unnoticed😢"
67,Damn I cried so hard singing her songs during my breakup....
68,Adele ❤ I love you ❤
69,It’s inexplicable how much this woman sings! 👏🏼💭🖊️
70,Who is here in 2024
71,Very good!!
72,Me
73,20.4.2024
74,I’m watching from Russia.❤like.
75,May 2024 ????? 😭❤️❤️❤️
76,"Let's Go To 7 BILLION

Adele    deserve it"
77,Life was so different when this came out..I wish that one day Adele listens to my music and we make a hit song together. God bless everyone going through it like me. Better days are coming....🍀
78,"See
Tuh-tuh
See
See
Tuh-tuh
See
Powerful, Deep, Pure"
79,wow
80,The best 😮
81,Adele with love from Russia❤
82,Good song
83,2024✌🏻😁
84,"It's been 8 years I'm listening this song, I find million voice Queena but no one can replace Adele, hello from the outside🥺"
85,I'm here. 👋 Still listening to all the greats. Adele has a beautiful voice.
86,SIDDONIE MY BIRTHDAY GIRLS📸🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑🔈🔉🔊📢🥳🥳🥳🥳🥳🥳🥳🥳🥳💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💋💋💋💋💋💋💋💋💋💋💋💋💋💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌
